epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.591,1.15684,3.43572,1.60675,0.67289,0.13912,0.1694,0.1141,1.31647,1.97857,1.83732,7.22829e-05,7.22829e-05,7.22829e-05
2,310.478,1.08456,2.37189,1.54425,0.57352,0.19882,0.22279,0.15389,1.28653,1.85968,1.81408,0.000141753,0.000141753,0.000141753
3,431.864,1.05099,2.05231,1.51383,0.59113,0.24866,0.24078,0.16601,1.29661,1.69926,1.84354,0.000208358,0.000208358,0.000208358
4,567.961,1.03515,1.88201,1.48731,0.5917,0.21561,0.26409,0.17586,1.33987,1.60729,1.8044,0.00020411,0.00020411,0.00020411
5,691.614,1.02508,1.77719,1.47849,0.5973,0.2569,0.27303,0.18635,1.31063,1.47059,1.77665,0.000199814,0.000199814,0.000199814
6,822.58,1.00666,1.68859,1.46207,0.5873,0.2456,0.27601,0.19019,1.27892,1.51428,1.74191,0.000195517,0.000195517,0.000195517
7,960.105,0.98311,1.59057,1.4396,0.62195,0.25503,0.30714,0.21856,1.27196,1.40542,1.73943,0.00019122,0.00019122,0.00019122
8,1095.57,0.98637,1.56049,1.43957,0.63115,0.27195,0.30989,0.21734,1.24763,1.39604,1.71359,0.000186924,0.000186924,0.000186924
9,1232.45,0.97409,1.4883,1.42585,0.6735,0.27626,0.31163,0.21966,1.25158,1.33253,1.67773,0.000182627,0.000182627,0.000182627
10,1358.17,0.9688,1.46315,1.42649,0.70798,0.24814,0.31176,0.22463,1.23237,1.33856,1.69662,0.000178331,0.000178331,0.000178331
11,1477.68,0.94922,1.41082,1.41299,0.62431,0.28068,0.32241,0.22883,1.25205,1.30826,1.69892,0.000174034,0.000174034,0.000174034
12,1596.1,0.95355,1.36997,1.41279,0.60201,0.3232,0.33256,0.22547,1.27585,1.27342,1.67762,0.000169737,0.000169737,0.000169737
13,1721.88,0.95483,1.35026,1.412,0.67169,0.2842,0.3277,0.23389,1.20531,1.21498,1.6407,0.000165441,0.000165441,0.000165441
14,1865.5,0.93861,1.29682,1.39898,0.6517,0.28493,0.31075,0.22009,1.23957,1.24484,1.66489,0.000161144,0.000161144,0.000161144
15,2003.75,0.93684,1.28777,1.39651,0.67981,0.28147,0.33141,0.23532,1.28215,1.22307,1.68515,0.000156848,0.000156848,0.000156848
16,2128.29,0.93205,1.25784,1.39254,0.6049,0.29246,0.33395,0.24231,1.23509,1.24983,1.6857,0.000152551,0.000152551,0.000152551
17,2251.02,0.92377,1.22383,1.38461,0.67798,0.28039,0.32988,0.23828,1.17923,1.15189,1.61877,0.000148254,0.000148254,0.000148254
18,2380.96,0.91622,1.20752,1.38055,0.66873,0.28954,0.33777,0.23964,1.24616,1.19431,1.67795,0.000143958,0.000143958,0.000143958
19,2513.55,0.92019,1.18589,1.37997,0.56553,0.33212,0.34846,0.25009,1.21533,1.16201,1.62744,0.000139661,0.000139661,0.000139661
20,2639.32,0.91499,1.16985,1.3747,0.61541,0.31425,0.3283,0.23487,1.22319,1.23333,1.64069,0.000135365,0.000135365,0.000135365
21,2768.75,0.90758,1.15147,1.37305,0.66307,0.2919,0.35138,0.24988,1.22533,1.17822,1.64821,0.000131068,0.000131068,0.000131068
22,2902.14,0.90906,1.14702,1.36863,0.64661,0.31542,0.3457,0.24585,1.2136,1.16524,1.64351,0.000126771,0.000126771,0.000126771
23,3030.66,0.89804,1.12075,1.36435,0.6429,0.29661,0.35923,0.2584,1.21383,1.19014,1.65906,0.000122475,0.000122475,0.000122475
24,3165.86,0.89272,1.1049,1.3579,0.64959,0.31477,0.35882,0.25662,1.19348,1.13348,1.60465,0.000118178,0.000118178,0.000118178
25,3297.26,0.89005,1.07893,1.3541,0.67676,0.29817,0.36427,0.26389,1.21464,1.14252,1.63294,0.000113882,0.000113882,0.000113882
26,3430.76,0.88833,1.07246,1.35146,0.70787,0.28745,0.34751,0.24902,1.21154,1.12045,1.61408,0.000109585,0.000109585,0.000109585
27,3563.76,0.88611,1.06538,1.35106,0.5511,0.34986,0.35728,0.25308,1.1977,1.13054,1.60545,0.000105288,0.000105288,0.000105288
28,3681.26,0.87908,1.04913,1.34527,0.6571,0.31262,0.36234,0.26459,1.20924,1.13951,1.62831,0.000100992,0.000100992,0.000100992
29,3800.01,0.86674,1.03444,1.33459,0.57395,0.34442,0.35234,0.25281,1.18988,1.11592,1.62886,9.66952e-05,9.66952e-05,9.66952e-05
30,3918.33,0.87115,1.01934,1.33837,0.57054,0.34455,0.36444,0.26373,1.18662,1.11777,1.61197,9.23986e-05,9.23986e-05,9.23986e-05
31,4034.71,0.8582,1.00584,1.32873,0.67952,0.29203,0.35139,0.25458,1.19766,1.12605,1.61804,8.8102e-05,8.8102e-05,8.8102e-05
