epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.531,1.298,3.84066,1.5945,0.40794,0.32057,0.32648,0.21474,1.1731,2.29489,1.56112,0.00333235,0.00333235,0.00333235
2,420.393,1.34484,3.05578,1.60274,0.51142,0.46897,0.47803,0.32161,1.18965,2.20492,1.49309,0.00659969,0.00659969,0.00659969
3,627.021,1.41327,2.8942,1.64756,0.4729,0.44765,0.41512,0.27778,1.26941,2.67542,1.58937,0.00980104,0.00980104,0.00980104
4,833.226,1.45535,2.75131,1.67996,0.5289,0.52593,0.5059,0.3384,1.20809,1.97829,1.53083,0.009703,0.009703,0.009703
5,1033.64,1.40843,2.42283,1.63203,0.57449,0.58604,0.56911,0.38154,1.19025,1.85456,1.49968,0.009604,0.009604,0.009604
6,1226.17,1.35052,2.19862,1.58737,0.67626,0.54648,0.62001,0.42712,1.13284,1.54895,1.47273,0.009505,0.009505,0.009505
7,1418.59,1.32282,2.07234,1.56668,0.67751,0.64835,0.68408,0.48297,1.07897,1.4641,1.414,0.009406,0.009406,0.009406
8,1612.03,1.30103,1.95551,1.54776,0.73679,0.65651,0.70092,0.50033,1.07015,1.34854,1.40203,0.009307,0.009307,0.009307
9,1808.94,1.27282,1.86503,1.5286,0.75013,0.65782,0.72198,0.52711,1.02626,1.23451,1.35855,0.009208,0.009208,0.009208
10,2002.31,1.25336,1.79314,1.51005,0.78532,0.68247,0.75611,0.54275,1.01281,1.13046,1.34103,0.009109,0.009109,0.009109
11,2195.69,1.23958,1.72366,1.49552,0.79693,0.68121,0.75334,0.54868,0.98115,1.10478,1.32104,0.00901,0.00901,0.00901
12,2389.03,1.22257,1.67839,1.48255,0.81132,0.72544,0.78869,0.57645,0.97944,1.01678,1.32037,0.008911,0.008911,0.008911
13,2582.06,1.20378,1.62112,1.46946,0.79741,0.74445,0.79057,0.57796,0.97307,1.00565,1.30825,0.008812,0.008812,0.008812
14,2775.7,1.19267,1.55762,1.45927,0.81235,0.74807,0.80031,0.5989,0.92755,0.94062,1.28242,0.008713,0.008713,0.008713
15,2967.94,1.17629,1.52534,1.44167,0.81289,0.74649,0.8091,0.59926,0.94071,0.91074,1.28082,0.008614,0.008614,0.008614
16,3161.43,1.16623,1.49716,1.43569,0.7987,0.77091,0.81639,0.60925,0.93836,0.91904,1.2876,0.008515,0.008515,0.008515
17,3353.3,1.15562,1.4523,1.42472,0.83913,0.74565,0.82008,0.61493,0.91389,0.87987,1.25413,0.008416,0.008416,0.008416
18,3550.73,1.1482,1.45181,1.42878,0.82415,0.76995,0.82018,0.61724,0.90524,0.86057,1.24773,0.008317,0.008317,0.008317
19,3765.62,1.13856,1.40035,1.41074,0.83812,0.78328,0.83136,0.62524,0.89831,0.8339,1.24324,0.008218,0.008218,0.008218
20,3979.26,1.1306,1.3779,1.409,0.83488,0.77786,0.8362,0.63673,0.88267,0.80962,1.23486,0.008119,0.008119,0.008119
21,4193.18,1.12358,1.34668,1.39636,0.80643,0.77619,0.82579,0.63197,0.87715,0.83505,1.22777,0.00802,0.00802,0.00802
22,4407.79,1.11877,1.33402,1.39473,0.84845,0.79143,0.84254,0.64324,0.88197,0.80578,1.22971,0.007921,0.007921,0.007921
23,4617.71,1.11854,1.32156,1.39716,0.85011,0.78998,0.84729,0.64411,0.87768,0.77933,1.22774,0.007822,0.007822,0.007822
24,4817.47,1.10201,1.29451,1.38559,0.84459,0.80105,0.854,0.65271,0.86373,0.74969,1.21209,0.007723,0.007723,0.007723
25,5023.13,1.10553,1.28056,1.38453,0.85864,0.78924,0.85169,0.65424,0.8625,0.74911,1.20686,0.007624,0.007624,0.007624
26,5230.91,1.09608,1.26175,1.37612,0.85681,0.80717,0.85772,0.66405,0.83918,0.73056,1.19428,0.007525,0.007525,0.007525
27,5429.54,1.08658,1.24538,1.37083,0.84975,0.80787,0.85252,0.66039,0.83795,0.73489,1.19669,0.007426,0.007426,0.007426
28,5629.61,1.07606,1.22149,1.36364,0.86668,0.80531,0.85701,0.66077,0.84038,0.71871,1.20091,0.007327,0.007327,0.007327
29,5830.52,1.07724,1.21331,1.3622,0.87105,0.81095,0.86232,0.66554,0.8346,0.7097,1.18708,0.007228,0.007228,0.007228
30,6029.2,1.07862,1.20061,1.36299,0.8534,0.82104,0.86404,0.67352,0.82082,0.68376,1.182,0.007129,0.007129,0.007129
31,6227.45,1.07034,1.18457,1.35527,0.86516,0.81098,0.85827,0.66671,0.82197,0.68563,1.18053,0.00703,0.00703,0.00703
32,6427.81,1.05377,1.15724,1.34608,0.85237,0.81722,0.86358,0.67464,0.8133,0.68149,1.17214,0.006931,0.006931,0.006931
33,6637.69,1.05649,1.157,1.34739,0.87205,0.82007,0.86663,0.67602,0.80623,0.66997,1.16897,0.006832,0.006832,0.006832
34,6842.6,1.05238,1.13649,1.34231,0.88197,0.81736,0.87316,0.6842,0.80316,0.65988,1.16046,0.006733,0.006733,0.006733
35,7057.01,1.04898,1.12581,1.34279,0.88814,0.81247,0.86983,0.68056,0.80057,0.66237,1.16178,0.006634,0.006634,0.006634
36,7271.47,1.04418,1.11662,1.33721,0.87276,0.81282,0.87026,0.68398,0.79347,0.66046,1.15707,0.006535,0.006535,0.006535
37,7484.33,1.03904,1.10812,1.33519,0.87256,0.81911,0.86873,0.68312,0.79634,0.64445,1.15505,0.006436,0.006436,0.006436
38,7694.19,1.03682,1.09289,1.33098,0.87656,0.81955,0.87312,0.68656,0.79094,0.63401,1.14859,0.006337,0.006337,0.006337
39,7900.11,1.03221,1.09205,1.32595,0.87051,0.82015,0.86826,0.68458,0.78507,0.64187,1.15256,0.006238,0.006238,0.006238
40,8107.13,1.02677,1.06604,1.32316,0.87451,0.81801,0.8684,0.68623,0.79002,0.63371,1.15163,0.006139,0.006139,0.006139
41,8305.95,1.02357,1.06985,1.318,0.87469,0.81901,0.87326,0.69134,0.77865,0.63052,1.14334,0.00604,0.00604,0.00604
42,8502.72,1.01549,1.04132,1.31015,0.87993,0.82124,0.8739,0.6929,0.77473,0.62846,1.13935,0.005941,0.005941,0.005941
43,8695.67,1.01037,1.04575,1.31154,0.88017,0.83149,0.87577,0.69336,0.77243,0.61861,1.13887,0.005842,0.005842,0.005842
44,8893.02,1.01064,1.03778,1.30659,0.87757,0.83157,0.87514,0.69439,0.77449,0.62118,1.13858,0.005743,0.005743,0.005743
45,9089.2,1.00918,1.02777,1.30503,0.88128,0.82635,0.8752,0.69448,0.76972,0.61947,1.13324,0.005644,0.005644,0.005644
46,9283.1,0.99706,1.01579,1.3018,0.88895,0.82039,0.87808,0.70008,0.76726,0.6113,1.12916,0.005545,0.005545,0.005545
47,9478.12,0.99789,1.00682,1.29988,0.87081,0.84021,0.87814,0.69869,0.76322,0.60406,1.12455,0.005446,0.005446,0.005446
48,9670.65,1.00289,1.00649,1.30352,0.88829,0.82437,0.87883,0.69882,0.76246,0.60124,1.12511,0.005347,0.005347,0.005347
49,9863.45,1.00117,1.00441,1.29801,0.88216,0.82974,0.8806,0.70095,0.76012,0.59117,1.1253,0.005248,0.005248,0.005248
50,10057.6,0.98583,0.9855,1.29014,0.8779,0.83075,0.87888,0.70216,0.75873,0.58841,1.1246,0.005149,0.005149,0.005149
51,10260.9,0.99311,0.99527,1.29689,0.87414,0.83442,0.8822,0.70472,0.75751,0.58615,1.12171,0.00505,0.00505,0.00505
52,10454.6,0.98541,0.97107,1.29094,0.88297,0.83211,0.88063,0.70568,0.7568,0.5851,1.12082,0.004951,0.004951,0.004951
53,10647.5,0.97245,0.95903,1.27754,0.88391,0.83142,0.88157,0.70706,0.75541,0.58002,1.11941,0.004852,0.004852,0.004852
54,10846,0.98459,0.96249,1.29202,0.87809,0.84157,0.88508,0.70784,0.75083,0.57753,1.11645,0.004753,0.004753,0.004753
55,11050.1,0.97356,0.9426,1.28055,0.87203,0.84781,0.88499,0.70801,0.75078,0.57374,1.11531,0.004654,0.004654,0.004654
56,11259.3,0.97191,0.94846,1.27886,0.88576,0.83899,0.88503,0.70899,0.74945,0.57138,1.11489,0.004555,0.004555,0.004555
57,11466,0.96918,0.93864,1.27563,0.88111,0.83926,0.8853,0.71065,0.74685,0.56718,1.11276,0.004456,0.004456,0.004456
58,11672.9,0.95882,0.92374,1.27087,0.88116,0.84524,0.88456,0.71068,0.74518,0.56526,1.11199,0.004357,0.004357,0.004357
59,11878.8,0.96175,0.9299,1.27189,0.88207,0.84169,0.88372,0.71131,0.74257,0.56548,1.11109,0.004258,0.004258,0.004258
60,12085.4,0.95473,0.91675,1.26761,0.88251,0.84175,0.88352,0.7112,0.74016,0.56335,1.10902,0.004159,0.004159,0.004159
61,12280.1,0.95668,0.91195,1.26919,0.88014,0.84616,0.88424,0.7111,0.73853,0.56249,1.10746,0.00406,0.00406,0.00406
62,12472.9,0.95274,0.90651,1.26588,0.88672,0.84157,0.88501,0.71132,0.7378,0.55902,1.10681,0.003961,0.003961,0.003961
63,12665.3,0.95139,0.88869,1.25982,0.89179,0.83905,0.88529,0.71123,0.73577,0.55724,1.10459,0.003862,0.003862,0.003862
64,12866.8,0.94765,0.89445,1.26417,0.89282,0.8376,0.8861,0.71292,0.73417,0.55583,1.10374,0.003763,0.003763,0.003763
65,13073.8,0.9381,0.87991,1.25589,0.89186,0.83886,0.88662,0.71269,0.73251,0.55437,1.10344,0.003664,0.003664,0.003664
66,13281.1,0.93888,0.8756,1.25377,0.88717,0.84223,0.88681,0.7133,0.73157,0.55437,1.1021,0.003565,0.003565,0.003565
67,13487.3,0.93353,0.86797,1.24892,0.88654,0.84329,0.88709,0.71325,0.73108,0.55267,1.10148,0.003466,0.003466,0.003466
